# . . # # # . # . . . # . . # . . . . # # . # . . . # . . . . # . . . . # . . # . # . # # . . . # # . # # . # 
# . # . . # . # # . # # # # # # # . # . # . # # # # . # # . # # # . . . # # . # . . # . # # # . . . # . # . . 
# . . # . # . # # . # . . . . # # . . . # . . # . # # # # . # # # # . . . # . . # . . # . . # . # . . . # # . 
# # . . # # . # # . # . . # . . . # # # . # . . . . . # . . . . . # # . # # # # # # . . . . # . . # # # # # # 
. . # . # # . . # # # # # # # # . # . # # # # # . . . # . . # # . # # . # . . . . . # # . # # # . # . . # . . 
# . . . . . . . . . . . . # # # . . . . . # # # # # . # # # # # . . . . # . . # # . . # . # # # . . . . # . . 
# # # . # # . # # # # . . . # . # # . . . . # . . # . # . . # . # # . # # # # . # # . . . . # # # # . # # # . 
# . # . . # . # # . # . # . # # # # # # . . # . # # . . # . # # # # . . # . # # # # # # # . . # # # . . # # . 
. # # # . . . . . . # . . # . . # . . # # # # . # # # . . # . . # . # . # # . . # . . . . . . . # # # . . . # 
. # # # # . . # # # . # . # # . # . # . . . # . . # . # . # # . # # . . . . . . # . . # # # # . . # . # # # # 
. . # # # # # # . # # # . . # # # . . # # . # . . # # # . . # # . # . . # # . # # # # . . . # . . # # . . . . 
# . . # # . . # . . . . . . . # # # . # . . # # # . . . . . . # . # # # # # . . # . # . . . # . . . # . . # . 
. . . . . . . # # . # # . # . . . . . # . . . . # . # # . # . # # # . . # . # . # # # # . . # # . # # # # # # 
# # # # # . # . # . # # . . . # # # . # # . . . # # . # . . # . . # # . # # . . . # # # # # # # . . . . . # # 
. . . # # . . # # . # . # # # . . # . # # # . # . # # . # . . # . . # # . # . . . . . # . . # # # # # . . . . 
. # . # # # . # . . # . . . # . # # . . . # . . # . # . . # . . . . . . . # # . . # . # # . . # # . # . # # . 
# # . . # . . # . # # # # # # . # # # # # . # . . # # # . . # # . # # # . # # # # . . . # . . . . . # . # . # 
. . . . # # . # . # # . . # . . . # # . # . # # . # # # # . . # . # # # . . . . # . . . # . . # # # . . # . . 
# # . . . # . . . . . . . # . . . . . . # . . . . . # . # # # . . . # # # # # # # # . # # # # # . # . . # # . 
# # # . # # # # # # # . # # # # # # # # . # # . # . # # # . # # . . . # # . . # . # . # # . . # . # # # # # # 
. # # . # . . . # # # . # # . . . # . # # . # . . # . . . . . # # . . . . # . # # . . . . . . # . # . . # . . 
. # # . # . . . . . # . . . . # . . # . # # . # . # # # # . # . # . # # . . # . # # # # # . # # . # . . # . . 
. . . # # # . # # . # . # # # . # . # # . # # # . . . # # . . # # . # . # . . . . . . # # . # . . # . # # # # 
. # . . # # . # . . # # . . # # . . . # . . . . . # . . # # . # . . # . . # # . . # . # # . # . # # . . # . # 
# # # . . . . # . . . # # # . # . . . # # . # # # # # . # . . # . . # # . # # # # # . . # # # . # . # . # # # 
. # . # # . # # # . # . . # . # # . # . # # # . . # . . # # . # # # # # . . . . . . . . . . # . # # . . . # # 
. # # # # . . # # . . # . # . # # . . # . . . . . # . . . # . # . . # # # # # . # # . # # . # # . # . . . . . 
. . . # . # . . . # . . # # . . # # . . . # # # . # # . # # . . # . . # # . # . # # . # . . . # . # # . . # . 
